time:2015-12-30 21:05:17,center:['n', 6.749],vowels:[['e', 12.702], ['o', 7.507], ['i', 6.966]],consonants:[['z', 0.074], ['h', 6.094], ['t', 9.056]],all_letters:[['n', 6.749], ['e', 12.702], ['o', 7.507], ['i', 6.966], ['z', 0.074], ['h', 6.094], ['t', 9.056]],freq_mean:7.02114285714
time:2015-12-30 21:16:58,center:['l', 4.025],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['h', 6.094], ['g', 2.015], ['r', 5.987], ['n', 6.749]],all_letters:[['l', 4.025], ['a', 8.167], ['e', 12.702], ['h', 6.094], ['g', 2.015], ['r', 5.987], ['n', 6.749]],freq_mean:6.53414285714
time:2015-12-30 21:20:14,center:['g', 2.015],vowels:[['a', 8.167], ['o', 7.507], ['e', 12.702]],consonants:[['y', 1.974], ['n', 6.749], ['s', 6.327]],all_letters:[['g', 2.015], ['a', 8.167], ['o', 7.507], ['e', 12.702], ['y', 1.974], ['n', 6.749], ['s', 6.327]],freq_mean:6.49157142857
time:2015-12-30 21:20:51,center:['p', 1.929],vowels:[['e', 12.702], ['o', 7.507]],consonants:[['r', 5.987], ['w', 2.361], ['t', 9.056], ['l', 4.025]],all_letters:[['p', 1.929], ['e', 12.702], ['o', 7.507], ['r', 5.987], ['w', 2.361], ['t', 9.056], ['l', 4.025]],freq_mean:6.22385714286
time:2015-12-30 21:22:56,center:['k', 0.772],vowels:[['a', 8.167], ['e', 12.702], ['i', 6.966]],consonants:[['t', 9.056], ['r', 5.987], ['y', 1.974]],all_letters:[['k', 0.772], ['a', 8.167], ['e', 12.702], ['i', 6.966], ['t', 9.056], ['r', 5.987], ['y', 1.974]],freq_mean:6.51771428571
time:2015-12-30 21:27:32,center:['r', 5.987],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['h', 6.094], ['n', 6.749], ['v', 0.978], ['t', 9.056]],all_letters:[['r', 5.987], ['a', 8.167], ['e', 12.702], ['h', 6.094], ['n', 6.749], ['v', 0.978], ['t', 9.056]],freq_mean:7.10471428571
time:2015-12-30 21:28:07,center:['f', 2.228],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['t', 9.056], ['m', 2.406], ['d', 4.253], ['n', 6.749]],all_letters:[['f', 2.228], ['a', 8.167], ['e', 12.702], ['t', 9.056], ['m', 2.406], ['d', 4.253], ['n', 6.749]],freq_mean:6.50871428571
time:2015-12-30 21:28:36,center:['x', 0.15],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['g', 2.015], ['r', 5.987], ['t', 9.056], ['l', 4.025]],all_letters:[['x', 0.15], ['e', 12.702], ['a', 8.167], ['g', 2.015], ['r', 5.987], ['t', 9.056], ['l', 4.025]],freq_mean:6.01457142857
time:2015-12-30 21:30:19,center:['r', 5.987],vowels:[['e', 12.702], ['o', 7.507]],consonants:[['c', 2.782], ['t', 9.056], ['n', 6.749], ['w', 2.361]],all_letters:[['r', 5.987], ['e', 12.702], ['o', 7.507], ['c', 2.782], ['t', 9.056], ['n', 6.749], ['w', 2.361]],freq_mean:6.73485714286
time:2015-12-30 21:30:32,center:['p', 1.929],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['s', 6.327], ['m', 2.406], ['d', 4.253], ['t', 9.056]],all_letters:[['p', 1.929], ['e', 12.702], ['i', 6.966], ['s', 6.327], ['m', 2.406], ['d', 4.253], ['t', 9.056]],freq_mean:6.23414285714
time:2015-12-30 21:31:01,center:['a', 8.167],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['s', 6.327], ['n', 6.749], ['c', 2.782], ['h', 6.094]],all_letters:[['a', 8.167], ['i', 6.966], ['e', 12.702], ['s', 6.327], ['n', 6.749], ['c', 2.782], ['h', 6.094]],freq_mean:7.11242857143
time:2015-12-30 21:31:07,center:['k', 0.772],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['y', 1.974], ['c', 2.782], ['t', 9.056], ['r', 5.987]],all_letters:[['k', 0.772], ['e', 12.702], ['i', 6.966], ['y', 1.974], ['c', 2.782], ['t', 9.056], ['r', 5.987]],freq_mean:5.74842857143
time:2015-12-30 21:31:54,center:['g', 2.015],vowels:[['e', 12.702], ['o', 7.507]],consonants:[['t', 9.056], ['s', 6.327], ['h', 6.094], ['w', 2.361]],all_letters:[['g', 2.015], ['e', 12.702], ['o', 7.507], ['t', 9.056], ['s', 6.327], ['h', 6.094], ['w', 2.361]],freq_mean:6.58028571429
time:2015-12-30 21:32:00,center:['k', 0.772],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['l', 4.025], ['n', 6.749], ['f', 2.228], ['t', 9.056]],all_letters:[['k', 0.772], ['e', 12.702], ['i', 6.966], ['l', 4.025], ['n', 6.749], ['f', 2.228], ['t', 9.056]],freq_mean:6.07114285714
time:2015-12-30 21:32:17,center:['x', 0.15],vowels:[['e', 12.702], ['i', 6.966], ['a', 8.167]],consonants:[['w', 2.361], ['r', 5.987], ['t', 9.056]],all_letters:[['x', 0.15], ['e', 12.702], ['i', 6.966], ['a', 8.167], ['w', 2.361], ['r', 5.987], ['t', 9.056]],freq_mean:6.48414285714
time:2015-12-30 21:32:31,center:['p', 1.929],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['c', 2.782], ['b', 1.492], ['t', 9.056], ['n', 6.749]],all_letters:[['p', 1.929], ['o', 7.507], ['e', 12.702], ['c', 2.782], ['b', 1.492], ['t', 9.056], ['n', 6.749]],freq_mean:6.031
